"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"celować";0;0;1;0;0;0;0;0;0
"cena";2;0;0;0;0;0;0;0;0
"cenić";0;0;0;0;1;0;0;1;0
"cenny";0;0;0;0;0;0;0;1;0
"centralny";0;0;0;3;0;0;0;0;0
"ceremonia";0;0;1;0;0;0;0;0;0
"ceremoniał";0;0;1;0;0;0;0;0;0
"cesarstwo";0;0;0;1;0;0;0;0;0
"cezarego";0;0;1;0;0;0;0;0;0
"charakter";0;0;2;0;1;0;0;1;0
"charkowie";0;0;0;1;0;0;0;0;0
"charkowski";0;0;0;1;0;0;0;0;0
"chcąc";1;0;0;0;1;2;1;0;0
"chcieć";9;0;2;1;3;1;10;1;7
"chciwość";1;0;0;0;0;0;0;0;0
"chełmiński";0;0;0;0;1;0;0;0;0
"chełmnie";0;0;0;0;1;0;0;0;0
"chemiczny";0;0;2;0;1;0;0;0;0
"chęć";0;0;1;0;1;0;0;0;0
"chętny";3;0;0;0;0;0;0;1;0
"chleb";1;0;0;0;0;0;0;0;0
"chlubny";0;0;0;0;0;0;0;1;0
"chłodny";0;0;0;0;1;0;0;0;0
"chłopak";0;0;0;0;0;0;1;0;0
"chłopca";0;0;1;0;0;0;0;0;0
"chłopcem";1;0;0;0;0;0;0;0;0
"chłopiec";0;0;0;0;0;1;3;0;0
"chłód";0;1;0;0;0;0;0;0;0
"chmara";1;0;0;0;0;0;0;0;1
"chmura";1;0;0;0;0;0;0;0;1
"chociaŝ";3;0;0;0;0;0;0;0;0
"chociaż";0;1;0;1;0;0;3;2;0
"choćby";1;0;0;0;0;0;0;0;0
"chodzić";0;0;0;0;0;0;3;1;6
"chora";0;0;0;1;0;0;0;0;0
"chorągiew";2;0;0;0;0;0;0;0;0
"choroba";0;0;1;1;3;0;0;0;0
"chory";0;0;0;0;1;0;0;0;0
"chorzów";0;0;0;0;0;1;0;0;0
"chować";0;1;0;0;0;0;0;0;0
"chronić";0;0;0;0;0;1;0;0;1
"chrystusa";0;0;1;0;0;0;0;0;0
"chrzestny";0;0;1;1;0;0;0;0;0
"chrześcijanin";0;0;1;0;0;0;0;0;0
"chrześcijański";0;0;4;0;0;0;0;0;0
"chwalebny";0;0;0;0;0;0;0;1;1
"chwiejąc";1;0;0;0;0;0;0;0;0
"chwila";4;1;1;0;0;0;3;2;3
"chwilę";0;1;0;0;0;0;0;0;3
"chwilka";0;0;0;0;0;0;1;0;0
"chwilowy";0;0;0;0;0;0;0;0;1
"chwycić";1;1;0;0;0;0;0;0;0
"chwytać";0;0;0;0;0;0;0;1;0
"chyba";2;0;1;0;0;0;4;0;0
"chyłkiem";0;0;0;0;0;0;1;0;1
"ciało";0;0;1;0;1;2;0;0;1
"ciarki";0;0;0;0;0;0;0;1;0
"ciasny";0;0;0;0;0;0;0;0;2
"ciąg";1;0;0;0;0;3;1;3;0
"ciągnąć";2;0;0;0;0;0;0;1;0
"cichcem";0;0;0;0;0;0;2;0;0
"ciebie";1;0;0;0;0;0;3;0;0
"ciekawość";0;0;0;0;0;0;1;0;0
"ciekawy";0;0;0;0;0;0;0;1;0
"cielesnoduchowy";0;0;1;0;0;0;0;0;0
"ciemniejszy";0;1;0;0;0;0;0;0;0
"ciemno";0;0;0;0;0;0;1;0;0
"ciemność";0;2;0;0;0;0;1;4;1
"ciemnowłosy";1;0;0;0;0;0;0;0;0
"ciemny";2;3;0;0;0;0;0;0;4
"cień";2;0;0;0;0;0;0;0;3
"ciepło";1;1;0;0;0;0;0;0;0
"ciepły";0;0;0;0;0;0;1;0;0
"cierpliwość";0;0;0;0;0;0;1;0;0
"cieszyć";1;0;0;0;0;0;2;1;1
"cię";3;0;0;0;0;0;4;0;2
"cięŝkiej";2;0;0;0;0;0;0;0;0
"cięŝko";2;0;0;0;0;0;0;0;0
"ciężki";0;0;0;1;0;0;3;0;0
"cios";0;0;0;0;0;1;1;0;0
"ciosanie";0;0;0;0;0;0;0;0;1
"ciskać";0;0;0;0;0;0;0;0;1
"cisnąć";0;0;0;0;0;0;0;0;3
"cisza";1;0;0;0;0;0;0;0;0
"ckr";0;0;0;4;0;0;0;0;0
"ckw";0;0;0;2;0;0;0;0;0
"cletza";0;0;0;0;1;0;0;0;0
"cmentarz";0;0;1;0;0;0;0;0;0
"codzienny";0;1;0;0;0;1;0;0;0
"coelestium";0;0;0;0;1;0;0;0;0
"cofać";0;0;0;0;0;0;0;0;1
"cofnąć";0;0;0;0;0;0;0;0;1
"concordią";0;0;0;0;0;1;0;0;0
"constitutus";0;0;0;0;2;0;0;0;0
"contra";0;0;0;0;1;0;0;0;0
"copernicana";0;0;0;0;1;0;0;0;0
"copernicusa";0;0;0;0;1;0;0;0;0
"copernig";0;0;0;0;2;0;0;0;0
"coście";1;0;0;0;0;0;0;0;0
"cotton";0;0;0;0;0;0;21;0;0
"cottona";0;0;0;0;0;0;3;0;0
